generation,best_fitness,mean_fitness,mean_reward,mean_survival,mean_floor_reached,mean_bosses_defeated,mean_chests_opened,mean_powerups_picked,mean_damage_powerups,mean_range_powerups,mean_speed_powerups,mean_diagonal_powerups,mean_vitality_powerups,mean_damage,mean_gate_distance,mean_best_gate_distance,mean_gate_tile_visits,mean_use_gate_attempts,mean_invalid_use_gate_attempts,mean_boss_damage,mean_boss_hits,mean_boss_health_remaining,mean_floor5_entry_alive,mean_floor5_entry_power_score,mean_alive_attack_bonus,mean_alive_range_bonus,mean_powered_agent_deaths,mean_miniboss_defeated,success_rate,champion_id,elite_ids
0,-27.26719093322754,-27.917186737060547,-29.812347412109375,63.171875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.84375,52.046875,0.0,27.078125,27.078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3 1
1,-25.418752670288086,-25.950002670288086,-28.260940551757812,77.03125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.65625,50.21875,0.0,28.046875,28.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2 3
2,-23.09531593322754,-23.792034149169922,-26.997909545898438,106.20625305175781,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109375,47.03125,45.78125,0.0,31.84375,31.84375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2 4
3,-21.58750343322754,-22.750003814697266,-25.379379272460938,85.5625,1.0,0.0,0.03125,0.03125,0.0,0.0,0.0,0.0,0.03125,0.0,49.25,48.3125,0.0,26.90625,26.90625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1 0
4,-17.221881866455078,-19.345787048339844,-22.342945098876953,96.9781265258789,1.0,0.0,0.03125,0.046875,0.015625,0.0,0.0,0.0,0.03125,0.140625,47.109375,45.296875,0.0,31.046875,31.046875,0.0,0.0,0.0,0.0,0.0,0.0062500000931322575,0.0,0.0,0.0,0.0,0,0 3
5,-5.076260089874268,-7.3594207763671875,-11.727514266967773,129.484375,1.0,0.0,0.1875,0.28125,0.09375,0.0,0.0,0.0,0.1875,0.6031249761581421,39.765625,37.296875,0.0,30.296875,30.296875,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.03125,0.0,0.0,1,1 3
6,7.533120632171631,3.818448543548584,-1.962645173072815,138.88436889648438,1.0,0.0,0.65625,1.15625,0.5,0.0,0.0,0.0,0.65625,1.678125023841858,34.03125,32.859375,0.0,29.390625,29.390625,0.0,0.0,0.0,0.0,0.0,0.18958333134651184,0.0,0.140625,0.0,0.0,3,3 0
7,15.798590660095215,8.040634155273438,2.0523524284362793,134.79061889648438,1.0,0.0,0.84375,1.609375,0.765625,0.0,0.0,0.0,0.84375,1.428125023841858,33.4375,32.8125,0.0,23.625,23.625,0.0,0.0,0.0,0.0,0.0,0.3187499940395355,0.0,0.15625,0.0,0.0,3,3 1
8,18.91781234741211,10.296603202819824,4.088915824890137,134.74374389648438,1.0,0.0,0.859375,1.65625,0.796875,0.0,0.0,0.0,0.859375,2.481250047683716,34.4375,32.984375,0.0,19.5,19.5,0.0,0.0,0.0,0.0,0.0,0.30416667461395264,0.0,0.203125,0.0,0.0,1,1 3
9,21.79830551147461,11.258550643920898,4.850457191467285,132.640625,1.0,0.0,0.984375,1.953125,0.96875,0.0,0.0,0.0,0.984375,2.5562500953674316,33.84375,32.78125,0.0,19.40625,19.40625,0.0,0.0,0.0,0.0,0.0,0.37447917461395264,0.0,0.234375,0.0,0.0,3,3 1
